,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
0,0,HP,Windows 11,8,512,42000,15.6,Intel Core i3 ,1,4.2
1,1,ASUS,Windows 11,8,512,53990,15.6,Intel Core i5 ,1,4.3
2,2,ASUS,Windows 11,16,512,64990,15.6,Intel Core i5 ,1,4.5
3,3,SAMSUNG,Windows 11,16,512,64990,13.3,Intel Core i5 ,1,4.5
4,4,SAMSUNG,Windows 11,8,512,44990,15.6,Intel Core i5 ,1,4.3
5,5,SAMSUNG,Windows 11,16,512,48990,15.6,Intel Core i5 ,1,4.3
6,6,DELL,Windows 11,16,512,51990,15.6,Intel Core i5 ,1,4.1
7,7,DELL,Windows 11,16,512,40990,14,Intel Core i5 ,1,3.7
8,8,HP,Windows 11,8,512,41000,14,Intel Core i3 ,1,4.3
9,9,HP,Windows 11,16,512,50399,15.6,Intel Core i5 ,1,4.3
10,10,ASUS,Windows 11,8,512,44990,15.6,AMD Ryzen 3 Quad Core ,1,4.4
11,11,ASUS,Windows 11,8,512,44990,15.6,AMD Ryzen 5 Quad Core ,1,4.4
12,12,ASUS,Windows 11,16,512,52990,15.6,Intel Core i5 ,1,4.3
13,13,ASUS,Windows 11,8,512,53990,15.6,Intel Core i5 ,1,4.4
14,14,ASUS,Windows 11,8,512,44990,15.6,AMD Ryzen 5 Quad Core ,1,4.4
15,15,Lenovo,Windows 11,8,512,40300,15.6,AMD Ryzen 5 Hexa Core ,1,4.6
16,16,ASUS,Windows 11,16,512,51990,15.6,Intel Core i5 ,1,4.1
17,17,DELL,Windows 11,16,512,45990,14.96,Intel Core i5 ,1,4.1
18,18,HP,Windows 11,16,512,60990,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
19,19,ASUS,Windows 11,16,512,52990,15.6,Intel Core i5 ,1,3.8
20,20,ASUS,Windows 11,8,512,44990,15.6,AMD Ryzen 5 Quad Core ,1,4.4
21,21,HP,Windows 11,16,512,45490,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
22,22,DELL,Windows 11,8,512,44770,15.6,Intel Core i5 ,1,4.3
23,23,HP,Windows 11,16,512,45990,15.6,AMD Ryzen 5 Quad Core ,1,4.2
24,24,ASUS,Windows 11,16,512,52990,15.6,Intel Core i5 ,1,4.2
25,25,ASUS,Windows 11,16,512,45890,14,AMD Ryzen 5 Quad Core ,1,4.2
26,26,HP,Windows 11,8,512,41500,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
27,27,DELL,Windows 11,8,512,48980,15.6,Intel Core i5 ,1,4.4
28,28,DELL,Windows 11,8,512,48480,15.6,Intel Core i5 ,1,4.4
29,29,DELL,Windows 11,8,512,44770,15.6,Intel Core i5 ,1,4.3
30,30,Lenovo,Windows 11,16,512,65190,16,Intel Core i5 ,1,4.2
31,31,ASUS,Windows 11,16,512,66990,15.6,AMD Ryzen 7 Octa Core ,1,4.3
32,32,ASUS,Windows 11,16,512,66990,15.6,AMD Ryzen 7 Octa Core ,1,4.3
33,33,DELL,Windows 11,16,1024,70790,14,Intel Core i5 ,1,3.7
34,34,HP,Windows 11,16,512,68990,15.6,Intel Core i5 ,1,3.7
35,35,HP,Windows 11,8,512,48999,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
36,36,HP,Windows 11,8,512,46990,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
37,37,HP,Windows 11,8,512,50990,15.6,Intel Core i5 ,1,4.2
38,38,Lenovo,Windows 11,16,512,59490,15.6,Intel Core i5 ,1,4.2
